id,hanzi,pinyin,pos,hanviet,vi,created_at,lesson_label,count_done,count_target,cau_truc,ket_hop,nghia,dong_am,gan_nghia,course
biz-不止,不止,bùzhǐ,副,bất chỉ,"không chỉ, hơn cả",2026-06-14 08:28:54.580782+00,Bai 9,0,10,,,,,,biz
biz-不知其可,不知其可,bù zhī qí kě,语,bất tri kỳ khả,không biết có được không,2026-06-14 08:28:51.124325+00,Bai 8,0,10,,,,,,biz
biz-不至于,不至于,bù zhìyú,副,bất chí ư,"không đến nỗi, chưa đến mức",2026-06-14 08:29:23.815501+00,Bai 9,0,10,,,,,,biz
biz-不难,不难,bù nán,形,bất nan,"không khó, dễ dàng",2026-06-14 08:27:58.536231+00,Bài 6,0,10,,,,,,biz
biz-专业知识,专业知识,zhuānyè zhīshi,短,chuyên nghiệp tri thức,kiến thức chuyên môn,2026-06-14 08:28:32.456178+00,Bai 8,0,10,,,,,,biz
biz-专门,专门,zhuānmén,副,chuyên môn,"chuyên biệt, đặc biệt",2026-06-14 08:28:20.029541+00,Bai 8,0,10,,,,,,biz
biz-业务,业务,yèwù,名,nghiệp vụ,"nghiệp vụ, công việc chuyên môn",2026-06-14 08:29:25.421853+00,Bài 10,0,10,,,,,,biz
biz-东南亚,东南亚,Dōngnányà,名,Đông Nam Á,khu vực Đông Nam Á,2026-06-14 08:29:26.538061+00,Bài 10,0,10,,,,,,biz
biz-东西,东西,dōngxi,名,đông tây,"đồ vật, thứ, vật phẩm",2026-06-14 08:29:43.356767+00,Bài 10,0,10,,,,,,biz
biz-两类,两类,liǎng lèi,短,,"hai loại, hai hạng",2026-06-14 08:28:02.533095+00,Bài 6,0,10,,,,,,biz
biz-严格遵守,严格遵守,yángé zūnshǒu,短,nghiêm cách tuân thủ,tuân thủ nghiêm chỉnh,2026-06-14 08:29:47.589981+00,Bài 10,0,10,,,,,,biz
biz-严肃,严肃,yánsù,形,nghiêm túc,"nghiêm túc, nghiêm trang",2026-06-14 08:29:19.461077+00,Bai 9,0,10,,,,,,biz
biz-个体,个体,gètǐ,名,cá thể,"cá thể, cá nhân riêng lẻ",2026-06-14 08:28:43.82692+00,Bai 8,0,10,,,,,,biz
biz-个度,个度,gè dù,名,cá độ,"mức độ riêng, giới hạn cá nhân",2026-06-14 08:28:47.489104+00,Bai 8,0,10,,,,,,biz
biz-个性,个性,gèxìng,名,cá tính,"cá tính, tính cách riêng",2026-06-14 08:29:16.397995+00,Bai 9,0,10,,,,,,biz
biz-中要,中要,zhōngyào,形,trung yếu,"quan trọng, then chốt",2026-06-14 08:28:06.305382+00,Bài 6,0,10,,,,,,biz
biz-中起,中起,zhōng qǐ,动,trung khởi,"bắt đầu từ giữa, khởi phát",2026-06-14 08:28:47.36508+00,Bai 8,0,10,,,,,,biz
biz-丰富,丰富,fēngfù,形,phong phú,"phong phú, dồi dào",2026-06-14 08:28:10.104023+00,Bài 6,0,10,,,,,,biz
biz-临时,临时,línshí,副,lâm thời,"tạm thời, lâm thời",2026-06-14 08:28:16.829797+00,Bai 8,0,10,,,,,,biz
biz-义务,义务,yì wù,名,nghĩa vụ,"nghĩa vụ, trách nhiệm",2026-06-14 08:28:43.580048+00,Bai 8,0,10,,,,,,biz
biz-主体,主体,zhǔtǐ,名,chủ thể,"chủ thể, bộ phận chính",2026-06-14 08:28:42.571604+00,Bai 8,0,10,,,,,,biz
biz-主动,主动,zhǔdòng,形,chủ động,"chủ động, tích cực",2026-06-14 08:28:36.323082+00,Bai 8,0,10,,,,,,biz
biz-主意,主意,zhǔyi,名,chủ ý,"ý kiến, kế hoạch, ý định",2026-06-14 08:29:06.04573+00,Bai 9,0,10,,,,,,biz
biz-主要,主要,zhǔ yào,形,chủ yếu,"chính, quan trọng nhất",2026-06-14 08:28:46.337101+00,Bai 8,0,10,,,,,,biz
biz-主题,主题,zhǔ tí,名,chủ đề,"chủ đề, chủ điểm",2026-06-14 08:29:38.790255+00,Bài 10,0,10,,,,,,biz
biz-举止,举止,jǔ zhǐ,名,cử chỉ,"cử chỉ, hành động",2026-06-14 08:28:40.268163+00,Bai 8,0,10,,,,,,biz
biz-之一,之一,zhī yī,语,chi nhất,một trong số,2026-06-14 08:29:45.475599+00,Bài 10,0,10,,,,,,biz
biz-之前,之前,zhī qián,语,chi tiền,"trước đó, trước khi",2026-06-14 08:28:24.992758+00,Bai 8,0,10,,,,,,biz
biz-之间,之间,zhī jiān,语,chi gian,"giữa, ở giữa",2026-06-14 08:29:35.239716+00,Bài 10,0,10,,,,,,biz
biz-乐意,乐意,lè yì,动,lạc ý,"vui lòng, sẵn sàng",2026-06-14 08:27:54.261498+00,Bài 6,0,10,,,,,,biz
biz-乘坐,乘坐,chéng zuò,动,thừa tọa,"đi, ngồi lên phương tiện",2026-06-14 08:28:56.424854+00,Bai 9,0,10,,,,,,biz
biz-书架,书架,shū jià,名,thư giá,"giá sách, kệ sách",2026-06-14 08:28:28.878179+00,Bai 8,0,10,,,,,,biz
biz-了解,了解,liǎo jiě,动,liễu giải,"hiểu, tìm hiểu",2026-06-14 08:27:48.091222+00,Bài 6,0,10,,,,,,biz
biz-争论,争论,zhēng lùn,动,tranh luận,"tranh luận, tranh biện",2026-06-14 08:29:39.856221+00,Bài 10,0,10,,,,,,biz
biz-事业,事业,shì yè,名,sự nghiệp,"sự nghiệp, công việc",2026-06-14 08:29:45.911108+00,Bài 10,0,10,,,,,,biz
biz-事半功倍,事半功倍,shì bàn gōng bèi,语,sự bán công bội,"ít công nhiều việc, hiệu quả cao",2026-06-14 08:29:48.908362+00,Bài 10,0,10,,,,,,biz
biz-事情,事情,shì qíng,名,sự tình,"việc, sự việc",2026-06-14 08:27:55.789635+00,Bài 6,0,10,,,,,,biz
biz-互相联系,互相联系,hù xiāng lián xì,语,hỗ tương liên hệ,liên hệ qua lại với nhau,2026-06-14 08:28:31.216926+00,Bai 8,0,10,,,,,,biz
biz-五分钟,五分钟,wǔ fēn zhōng,名,ngũ phân chung,năm phút,2026-06-14 08:28:37.578024+00,Bai 8,0,10,,,,,,biz
biz-交易,交易,jiāo yì,名,giao dịch,"giao dịch, mua bán",2026-06-14 08:29:34.085776+00,Bài 10,0,10,,,,,,biz
biz-交流,交流,jiāo liú,动,giao lưu,"giao lưu, trao đổi",2026-06-14 08:28:31.336826+00,Bai 8,0,10,,,,,,biz
biz-交谈,交谈,jiāo tán,动,giao đàm,"trò chuyện, đàm thoại",2026-06-14 08:29:40.139008+00,Bài 10,0,10,,,,,,biz
biz-交际,交际,jiāo jì,动,giao tế,"giao tiếp, giao tế",2026-06-14 08:28:35.087177+00,Bai 8,0,10,,,,,,biz
biz-产品,产品,chǎn pǐn,名,sản phẩm,"sản phẩm, hàng hóa",2026-06-14 08:27:48.342184+00,Bài 6,0,10,,,,,,biz
biz-产品质量,产品质量,chǎn pǐn zhì liàng,名,sản phẩm chất lượng,chất lượng sản phẩm,2026-06-14 08:29:04.413445+00,Bai 9,0,10,,,,,,biz
biz-亲切,亲切,qīn qiè,形,thân thiết,"thân thiết, ân cần",2026-06-14 08:28:13.474224+00,Bài 6,0,10,,,,,,biz
biz-亲切友好,亲切友好,qīn qiè yǒu hǎo,语,thân thiết hữu hảo,thân thiện và hữu nghị,2026-06-14 08:29:11.989257+00,Bai 9,0,10,,,,,,biz
biz-亲自,亲自,qīn zì,副,thân tự,"đích thân, tự mình",2026-06-14 08:28:23.764757+00,Bai 8,0,10,,,,,,biz
biz-人员,人员,rén yuán,名,nhân viên,"nhân viên, thành viên",2026-06-14 08:28:18.308616+00,Bai 8,0,10,,,,,,biz
biz-人数,人数,rén shù,名,nhân số,số lượng người,2026-06-14 08:27:48.846411+00,Bài 6,0,10,,,,,,biz
biz-人类,人类,rén lèi,名,nhân loại,"nhân loại, loài người",2026-06-14 08:28:34.217093+00,Bai 8,0,10,,,,,,biz
biz-人际交往,人际交往,rén jì jiāo wǎng,短,nhân tế giao vãng,giao tiếp giữa người với người,2026-06-14 08:29:18.953922+00,Bai 9,0,10,,,,,,biz
biz-人际关系,人际关系,rén jì guān xi,名,nhân tế quan hệ,mối quan hệ giữa người với người,2026-06-14 08:28:33.074629+00,Bai 8,0,10,,,,,,biz
biz-今天,今天,jīn tiān,名,kim thiên,hôm nay,2026-06-14 08:28:15.841223+00,Bai 8,0,10,,,,,,biz
biz-今年,今年,jīn nián,名,kim niên,năm nay,2026-06-14 08:27:41.954006+00,Bài 6,0,10,,,,,,biz
biz-今早,今早,jīn zǎo,名,kim tảo,sáng nay,2026-06-14 08:28:16.467657+00,Bai 8,0,10,,,,,,biz
biz-从事,从事,cóng shì,动,tùng sự,"làm, theo đuổi (công việc)",2026-06-14 08:28:33.200295+00,Bai 8,0,10,,,,,,biz
biz-从见,从见,cóng jiàn,短,tùng kiến,theo đó thấy rằng,2026-06-14 08:28:44.702275+00,Bai 8,0,10,,,,,,biz
biz-仔细,仔细,zǐ xì,形,tử tế,"cẩn thận, tỉ mỉ",2026-06-14 08:28:08.206606+00,Bài 6,0,10,,,,,,biz
biz-代为,代为,dài wéi,副,đại vi,"thay mặt làm, đại diện thực hiện",2026-06-14 08:28:04.301516+00,Bài 6,0,10,,,,,,biz
biz-代替,代替,dài tì,动,đại thế,"thay thế, thế chỗ",2026-06-14 08:29:21.074133+00,Bai 9,0,10,,,,,,biz
biz-代表,代表,dài biǎo,兼,đại biểu,"đại diện, đại biểu",2026-06-14 08:28:59.153159+00,Bai 9,0,10,,,,,,biz
biz-以上,以上,yǐ shàng,名,dĩ thượng,"trên đây, từ ... trở lên",2026-06-14 08:29:48.229444+00,Bài 10,0,10,,,,,,biz
biz-以下,以下,yǐ xià,名,dĩ hạ,"dưới đây, từ ... trở xuống",2026-06-14 08:28:34.841033+00,Bai 8,0,10,,,,,,biz
biz-以后,以后,yǐ hòu,名,dĩ hậu,"sau này, sau đây",2026-06-14 08:29:05.151807+00,Bai 9,0,10,,,,,,biz
biz-以外,以外,yǐ wài,名,dĩ ngoại,"ngoài ra, bên ngoài phạm vi",2026-06-14 08:29:09.527259+00,Bai 9,0,10,,,,,,biz
biz-以来,以来,yǐ lái,名,dĩ lai,từ ... đến nay,2026-06-14 08:29:31.832523+00,Bài 10,0,10,,,,,,biz
biz-价位,价位,jià wèi,名,giá vị,"mức giá, tầm giá",2026-06-14 08:27:46.644586+00,Bài 6,0,10,,,,,,biz
biz-价值,价值,jià zhí,名,giá trị,giá trị,2026-06-14 08:28:42.945229+00,Bai 8,0,10,,,,,,biz
biz-价格,价格,jià gé,名,giá cách,"giá cả, mức giá",2026-06-14 08:27:50.888153+00,Bài 6,0,10,,,,,,biz
biz-价格比,价格比,jià gé bǐ,名,giá cách tỉ,"tỷ lệ giá, so sánh giá cả",2026-06-14 08:29:32.683052+00,Bài 10,0,10,,,,,,biz
biz-任务,任务,rènwu,名,Nhiệm vụ,"nhiệm vụ, công việc được giao",2026-06-14 08:29:02.710437+00,Bai 9,0,10,,,,,,biz
biz-企业,企业,qǐyè,名,Xí nghiệp,"doanh nghiệp, xí nghiệp",2026-06-14 08:29:25.917753+00,Bài 10,0,10,,,,,,biz
biz-休息区,休息区,xiūxi qū,名,Hưu tức khu,khu vực nghỉ ngơi,2026-06-14 08:28:28.754452+00,Bai 8,0,10,,,,,,biz
biz-休息时间,休息时间,xiūxi shíjiān,名,Hưu tức thời gian,thời gian nghỉ ngơi,2026-06-14 08:28:29.364901+00,Bai 8,0,10,,,,,,biz
biz-众多,众多,zhòngduō,形,Chúng đa,"rất nhiều, đông đảo",2026-06-14 08:29:21.946393+00,Bai 9,0,10,,,,,,biz
biz-优势,优势,yōushì,名,Ưu thế,"ưu thế, lợi thế",2026-06-14 08:27:45.51401+00,Bài 6,0,10,,,,,,biz
biz-优惠,优惠,yōuhuì,形,Ưu huệ,"ưu đãi, giảm giá",2026-06-14 08:29:29.312965+00,Bài 10,0,10,,,,,,biz
biz-优点,优点,yōudiǎn,名,Ưu điểm,"ưu điểm, điểm mạnh",2026-06-14 08:28:08.841305+00,Bài 6,0,10,,,,,,biz
biz-优缺点,优缺点,yōu quēdiǎn,名,Ưu khuyết điểm,ưu điểm và nhược điểm,2026-06-14 08:28:49.739968+00,Bai 8,0,10,,,,,,biz
biz-优良,优良,yōuliáng,形,Ưu lương,"tốt, ưu tú, xuất sắc",2026-06-14 08:29:27.852004+00,Bài 10,0,10,,,,,,biz
biz-优质,优质,yōuzhì,形,Ưu chất,"chất lượng cao, tốt",2026-06-14 08:29:46.513453+00,Bài 10,0,10,,,,,,biz
biz-优质产品,优质产品,yōuzhì chǎnpǐn,名,Ưu chất sản phẩm,sản phẩm chất lượng cao,2026-06-14 08:29:46.327765+00,Bài 10,0,10,,,,,,biz
biz-优越,优越,yōuyuè,形,Ưu việt,"ưu việt, vượt trội",2026-06-14 08:29:00.487903+00,Bai 9,0,10,,,,,,biz
biz-会议,会议,huìyì,名,Hội nghị,"hội nghị, cuộc họp",2026-06-14 08:28:17.437644+00,Bai 8,0,10,,,,,,biz
biz-会议室,会议室,huìyì shì,名,Hội nghị thất,phòng họp,2026-06-14 08:28:27.91515+00,Bai 8,0,10,,,,,,biz
biz-传达,传达,chuándá,动,Truyền đạt,"truyền đạt, chuyển tải",2026-06-14 08:29:12.633238+00,Bai 9,0,10,,,,,,biz
biz-伤感,伤感,shānggǎn,形,Thương cảm,"buồn bã, cảm thương",2026-06-14 08:29:19.830173+00,Bai 9,0,10,,,,,,biz
biz-低于,低于,dīyú,动,Đê ư,"thấp hơn, dưới mức",2026-06-14 08:29:34.593997+00,Bài 10,0,10,,,,,,biz
biz-低价位,低价位,dī jiàwèi,名,Đê giá vị,mức giá thấp,2026-06-14 08:29:05.018491+00,Bai 9,0,10,,,,,,biz
biz-体现,体现,tǐxiàn,动,Thể hiện,"thể hiện, biểu hiện",2026-06-14 08:28:39.174389+00,Bai 8,0,10,,,,,,biz
biz-体系,体系,tǐxì,名,Thể hệ,"hệ thống, thể chế",2026-06-14 08:29:46.784026+00,Bài 10,0,10,,,,,,biz
biz-作品,作品,zuòpǐn,名,Tác phẩm,"tác phẩm, sản phẩm sáng tác",2026-06-14 08:28:32.078276+00,Bai 8,0,10,,,,,,biz
biz-作用,作用,zuòyòng,名,Tác dụng,"tác dụng, vai trò",2026-06-14 08:28:32.704841+00,Bai 8,0,10,,,,,,biz
biz-使人,使人,shǐ rén,动,Sử nhân,"khiến người ta, làm cho",2026-06-14 08:29:23.933929+00,Bai 9,0,10,,,,,,biz
biz-使用,使用,shǐyòng,动,Sử dụng,"sử dụng, dùng",2026-06-14 08:28:00.536521+00,Bài 6,0,10,,,,,,biz
biz-使用寿命,使用寿命,shǐyòng shòumìng,名,Sử dụng thọ mệnh,tuổi thọ sử dụng,2026-06-14 08:28:22.624517+00,Bai 8,0,10,,,,,,biz
biz-供货,供货,gōnghuò,动,Cung hóa,cung cấp hàng hóa,2026-06-14 08:29:28.705765+00,Bài 10,0,10,,,,,,biz
biz-侮辱,侮辱,wǔrǔ,动,Vũ nhục,"xúc phạm, làm nhục",2026-06-14 08:28:41.889901+00,Bai 8,0,10,,,,,,biz
biz-便宜,便宜,piányí,形,Tiện nghi,"rẻ, giá thấp",2026-06-14 08:29:30.06058+00,Bài 10,0,10,,,,,,biz
biz-促成,促成,cù chéng,动,Xúc thành,thúc đẩy để thành công,2026-06-14 08:29:33.965758+00,Bài 10,0,10,,,,,,biz
biz-促销,促销,cù xiāo,动,Xúc tiêu,"khuyến mãi, xúc tiến bán hàng",2026-06-14 08:29:05.65861+00,Bai 9,0,10,,,,,,biz
biz-俗话,俗话,sú huà,名,Tục thoại,"tục ngữ, câu nói dân gian",2026-06-14 08:29:21.566998+00,Bai 9,0,10,,,,,,biz
biz-俗语说,俗语说,sú yǔ shuō,语,Tục ngữ thuyết,tục ngữ có câu rằng,2026-06-14 08:28:38.937+00,Bai 8,0,10,,,,,,biz
biz-保护,保护,bǎo hù,动,Bảo hộ,"bảo vệ, che chở",2026-06-14 08:28:56.17517+00,Bai 9,0,10,,,,,,biz
biz-保持,保持,bǎo chí,动,Bảo trì,"duy trì, giữ nguyên trạng thái",2026-06-14 08:29:13.739959+00,Bai 9,0,10,,,,,,biz
biz-保持一致,保持一致,bǎo chí yī zhì,短,Bảo trì nhất trí,duy trì sự nhất quán,2026-06-14 08:29:20.199799+00,Bai 9,0,10,,,,,,biz
biz-保本,保本,bǎo běn,动,Bảo bản,bảo toàn vốn gốc,2026-06-14 08:29:08.274657+00,Bai 9,0,10,,,,,,biz
biz-保证,保证,bǎo zhèng,动,Bảo chứng,"đảm bảo, cam kết",2026-06-14 08:29:32.935134+00,Bài 10,0,10,,,,,,biz
biz-信任,信任,xìn rèn,动,Tín nhậm,"tin tưởng, tín nhiệm",2026-06-14 08:28:48.836333+00,Bai 8,0,10,,,,,,biz
biz-信念,信念,xìn niàn,名,Tín niệm,"niềm tin, tín ngưỡng",2026-06-14 08:28:12.229152+00,Bài 6,0,10,,,,,,biz
biz-信息,信息,xìn xī,名,Tín tức,"thông tin, tin tức",2026-06-14 08:28:07.584273+00,Bài 6,0,10,,,,,,biz
biz-信用,信用,xìn yòng,名,Tín dụng,"tín dụng, uy tín",2026-06-14 08:28:50.360907+00,Bai 8,0,10,,,,,,biz
biz-信誉,信誉,xìn yù,名,Tín dự,"uy tín, danh tiếng",2026-06-14 08:29:27.969196+00,Bài 10,0,10,,,,,,biz
biz-倾听,倾听,qīng tīng,动,Khuynh thính,lắng nghe chăm chú,2026-06-14 08:28:46.839818+00,Bai 8,0,10,,,,,,biz
biz-偏高,偏高,piān gāo,形,Thiên cao,"hơi cao, cao hơn bình thường",2026-06-14 08:27:52.270932+00,Bài 6,0,10,,,,,,biz
biz-做些,做些,zuò xiē,动,tố ta,"làm một số, làm vài thứ",2026-06-14 08:29:34.209915+00,Bài 10,0,10,,,,,,biz
biz-做出,做出,zuò chū,动,tố xuất,"đưa ra, tạo ra kết quả",2026-06-14 08:29:30.195843+00,Bài 10,0,10,,,,,,biz
biz-做好,做好,zuò hǎo,动,tố hảo,"làm tốt, hoàn thành tốt",2026-06-14 08:28:45.331906+00,Bai 8,0,10,,,,,,biz
biz-健身房,健身房,jiàn shēn fáng,名,Kiện thân phòng,"phòng gym, phòng tập thể dục",2026-06-14 08:28:29.240552+00,Bai 8,0,10,,,,,,biz
biz-像是,像是,xiàng shì,动,tượng thị,"có vẻ như, trông giống",2026-06-14 08:29:17.768314+00,Bai 9,0,10,,,,,,biz
biz-允许,允许,yǔn xǔ,动,Doãn hứa,"cho phép, chấp thuận",2026-06-14 08:28:57.513174+00,Bai 9,0,10,,,,,,biz
biz-充电,充电,chōng diàn,动,Sung điện,"sạc điện, nạp năng lượng",2026-06-14 08:28:51.986572+00,Bai 9,0,10,,,,,,biz
biz-先对,先对,xiān duì,短,tiên đối,"trước hãy đối chiếu, hãy đối",2026-06-14 08:28:14.221563+00,Bài 6,0,10,,,,,,biz
biz-先生,先生,xiān shēng,名,Tiên sinh,"ông, thầy giáo, chồng",2026-06-14 08:28:24.507396+00,Bai 8,0,10,,,,,,biz
biz-光说,光说,guāng shuō,副,quang thuyết,"chỉ nói miệng, nói suông",2026-06-14 08:29:04.263132+00,Bai 9,0,10,,,,,,biz
biz-全力以赴,全力以赴,quán lì yǐ fù,语,Toàn lực dĩ phó,"dốc toàn lực, hết sức cố gắng",2026-06-14 08:29:39.465564+00,Bài 10,0,10,,,,,,biz
biz-全程,全程,quán chéng,名,toàn trình,"toàn bộ quá trình, suốt chặng đường",2026-06-14 08:28:44.954773+00,Bai 8,0,10,,,,,,biz
biz-八晚,八晚,bā wǎn,名,bát vãn,tám đêm,2026-06-14 08:27:49.584971+00,Bài 6,0,10,,,,,,biz
biz-公共,公共,gōng gòng,形,công cộng,"công cộng, dùng chung",2026-06-14 08:28:03.425651+00,Bài 6,0,10,,,,,,biz
biz-公司,公司,gōng sī,名,công ty,"công ty, doanh nghiệp",2026-06-14 08:27:44.396678+00,Bài 6,0,10,,,,,,biz
biz-公平,公平,gōng píng,形,công bình,"công bằng, không thiên vị",2026-06-14 08:28:43.954298+00,Bai 8,0,10,,,,,,biz
biz-公民,公民,gōng mín,名,công dân,công dân,2026-06-14 08:28:43.330554+00,Bai 8,0,10,,,,,,biz
biz-共同利益,共同利益,gòng tóng lì yì,名,cộng đồng lợi ích,lợi ích chung,2026-06-14 08:29:35.881921+00,Bài 10,0,10,,,,,,biz
biz-共有,共有,gòng yǒu,动,cộng hữu,"cùng sở hữu, có tổng cộng",2026-06-14 08:28:21.52694+00,Bai 8,0,10,,,,,,biz
biz-关心,关心,guān xīn,动,quan tâm,"quan tâm, chú ý đến",2026-06-14 08:28:40.506905+00,Bai 8,0,10,,,,,,biz
biz-关系,关系,guān xi,名,quan hệ,"quan hệ, mối liên hệ",2026-06-14 08:28:38.452782+00,Bai 8,0,10,,,,,,biz
biz-关键,关键,guān jiàn,名,quan kiện,"then chốt, mấu chốt",2026-06-14 08:29:46.198274+00,Bài 10,0,10,,,,,,biz
biz-兴趣,兴趣,xìng qù,名,hứng thú,"hứng thú, sở thích",2026-06-14 08:29:37.316272+00,Bài 10,0,10,,,,,,biz
biz-其实,其实,qí shí,副,kỳ thực,"thực ra, thật ra",2026-06-14 08:27:58.411386+00,Bài 6,0,10,,,,,,biz
biz-具体,具体,jù tǐ,形,cụ thể,"cụ thể, rõ ràng chi tiết",2026-06-14 08:28:11.228897+00,Bài 6,0,10,,,,,,biz
biz-具体情况,具体情况,jù tǐ qíng kuàng,名,cụ thể tình huống,tình huống cụ thể,2026-06-14 08:29:48.619613+00,Bài 10,0,10,,,,,,biz
biz-具备,具备,jù bèi,动,cụ bị,"có đủ, trang bị đầy đủ",2026-06-14 08:28:54.458065+00,Bai 9,0,10,,,,,,biz
biz-具有,具有,jù yǒu,动,cụ hữu,"có, sở hữu, mang",2026-06-14 08:28:04.550753+00,Bài 6,0,10,,,,,,biz
biz-兼备,兼备,jiān bèi,动,kiêm bị,"có đủ cả hai, kiêm đủ",2026-06-14 08:28:39.776799+00,Bai 8,0,10,,,,,,biz
biz-兼容,兼容,jiān róng,动,kiêm dung,"tương thích, dung nạp cùng lúc",2026-06-14 08:28:54.214395+00,Bai 9,0,10,,,,,,biz
biz-内外,内外,nèi wài,名,nội ngoại,"trong và ngoài, nội ngoại",2026-06-14 08:28:39.652374+00,Bai 8,0,10,,,,,,biz
biz-内容,内容,nèi róng,名,nội dung,nội dung,2026-06-14 08:27:43.371824+00,Bài 6,0,10,,,,,,biz
biz-内涵,内涵,nèi hán,名,nội hàm,"nội hàm, hàm ý sâu xa",2026-06-14 08:28:39.414052+00,Bai 8,0,10,,,,,,biz
biz-再次,再次,zài cì,副,tái thứ,"một lần nữa, lại lần nữa",2026-06-14 08:28:51.3676+00,Bai 8,0,10,,,,,,biz
biz-冒犯,冒犯,mào fàn,动,mạo phạm,"xúc phạm, làm mất lòng",2026-06-14 08:28:41.766439+00,Bai 8,0,10,,,,,,biz
biz-最佳,最佳,zuì jiā,形,Tối giai,"tốt nhất, tối ưu",2026-06-14 08:29:42.594112+00,Bài 10,0,10,,,,,,biz
biz-最后,最后,zuì hòu,副,Tối hậu,"cuối cùng, sau cùng",2026-06-14 08:27:43.622011+00,Bài 6,0,10,,,,,,biz
biz-最大,最大,zuì dà,形,Tối đại,"lớn nhất, to nhất",2026-06-14 08:29:25.671575+00,Bài 10,0,10,,,,,,biz
biz-最好,最好,zuì hǎo,形,Tối hảo,"tốt nhất, hay nhất",2026-06-14 08:28:20.395555+00,Bai 8,0,10,,,,,,biz
biz-最近,最近,zuì jìn,副,Tối cận,"gần đây, mới đây",2026-06-14 08:29:29.558211+00,Bài 10,0,10,,,,,,biz
biz-决定,决定,jué dìng,动,quyết định,quyết định,2026-06-14 08:29:30.328441+00,Bài 10,0,10,,,,,,biz
biz-冷漠,冷漠,lěng mò,形,lãnh mạc,"lạnh lùng, thờ ơ vô cảm",2026-06-14 08:29:14.74526+00,Bai 9,0,10,,,,,,biz
biz-准备,准备,zhǔnbèi,动,Chuẩn bị,"chuẩn bị, sẵn sàng",2026-06-14 08:28:11.104195+00,Bài 6,0,10,,,,,,biz
biz-准确,准确,zhǔnquè,形,Chuẩn xác,"chính xác, đúng đắn",2026-06-14 08:28:07.450772+00,Bài 6,0,10,,,,,,biz
biz-减价,减价,jiǎnjià,动,Giảm giá,"giảm giá, hạ giá",2026-06-14 08:29:34.729387+00,Bài 10,0,10,,,,,,biz
biz-凝视,凝视,níngshì,动,Ngưng thị,"nhìn chằm chằm, nhìn đăm đăm",2026-06-14 08:29:15.766795+00,Bai 9,0,10,,,,,,biz
biz-几个,几个,jǐ gè,短,kỷ cá,"mấy cái, vài cái",2026-06-14 08:29:13.362516+00,Bai 9,0,10,,,,,,biz
biz-出对,出对,chūduì,动,Xuất đối,"ra câu đối, đặt câu đối",2026-06-14 08:28:45.206133+00,Bai 8,0,10,,,,,,biz
biz-出现,出现,chūxiàn,动,Xuất hiện,"xuất hiện, hiện ra",2026-06-14 08:28:04.801796+00,Bài 6,0,10,,,,,,biz
